,Unnamed: 0,NAME,STATENAME,HOMICIDES,HOMICIDES_BLACK,SHARE_BLACK_K,HOMICIDES_WHITE,SHARE_WHITE_K,POPULATION,BLACK_POPULATION,SHARE_BLACK,WHITE_POPULATION,SHARE_WHITE,SHARE_POVERTY,OFFICERS/1kPOP,RATIO,Type 1
0,4865,Lino Lakes Police Department,Minnesota,1,1,1.0,0,0.0,20478,123,0.006,18606,0.9329999999999999,0.027999999999999997,1.203,162.195,-1.110223024640014e-16
1,1074,Trinidad Police Dept,Colorado,2,1,0.5,0,0.0,8939,26,0.003,3166,0.414,0.207,3.008,147.03799999999998,
2,10983,Saratoga Springs Police Department,Utah,1,1,1.0,0,0.0,18546,256,0.009000000000000001,24257,0.889,0.02,0.879,106.645,
3,2008,Maui (County) Police Department,Hawaii,2,1,0.5,0,0.0,158760,880,0.005,49563,0.305,0.09699999999999999,2.108,92.46600000000001,
4,665,South Lake Tahoe Police Department,California,1,1,1.0,0,0.0,21586,243,0.011000000000000001,13690,0.636,0.136,1.672,88.617,
5,2434,Highland Park Police Dept,Illinois,1,1,1.0,0,0.0,29896,384,0.013000000000000001,25743,0.872,0.05,1.828,76.90899999999999,
6,662,Walnut Creek Police Department,California,1,1,1.0,0,0.0,65816,1141,0.017,47011,0.69,0.062,1.13,59.695,
7,734,Glendora Police Department,California,1,1,1.0,0,0.0,50903,918,0.018000000000000002,25098,0.49200000000000005,0.08900000000000001,0.98,55.573,
8,829,Rocklin Police Department,California,1,1,1.0,0,0.0,58865,1229,0.02,44122,0.7090000000000001,0.062,0.836,50.62,
9,2163,Des Plaines Police Dept,Illinois,1,1,1.0,0,0.0,58644,1162,0.02,36633,0.635,0.087,1.525,49.676,
10,10367,Grand Prairie Police Department,Texas,6,1,0.16699999999999998,3,0.5,181782,44213,0.23199999999999998,41933,0.22,0.121,1.14,0.718,
11,1345,Sunrise Police Department,Florida,4,1,0.25,2,0.5,87168,32290,0.35,26043,0.282,0.12,1.8840000000000001,0.715,
12,3323,Wichita Police Department,Kansas,13,1,0.077,9,0.6920000000000001,386409,42662,0.111,241626,0.629,0.162,1.671,0.693,
13,574,Jacksonville Police Department,Arkansas,4,1,0.25,3,0.75,28733,10640,0.384,13858,0.5,0.17600000000000002,2.78,0.6509999999999999,
14,6160,East Orange Police,New Jersey,2,1,0.5,0,0.0,64682,54134,0.86,1101,0.017,0.191,3.51,0.5820000000000001,
15,670,Fresno Police Department,California,26,1,0.038,5,0.192,506011,38687,0.075,138316,0.26899999999999996,0.26899999999999996,1.433,0.51,
16,10027,Chattanooga Police Department,Tennessee,6,1,0.16699999999999998,0,0.0,171541,56242,0.331,94938,0.5589999999999999,0.188,2.7689999999999997,0.503,
17,10362,Desoto Police Department,Texas,3,1,0.33299999999999996,0,0.0,50795,35568,0.684,6352,0.122,0.11900000000000001,1.135,0.48700000000000004,
18,858,San Bernardino Police Department,California,16,1,0.062,3,0.188,214987,27703,0.135,30265,0.14800000000000002,0.284,1.327,0.462,
19,10596,Beaumont Police Department,Texas,5,1,0.2,3,0.6,120323,55641,0.484,36703,0.32,0.19899999999999998,2.168,0.413,
